Sample,Achromobacter,Acidibacter,Acidothermus,Actinoallomurus,Actinomadura,Actinomycetospora,Actinophytocola,Actinoplanes,Actinospica,Actinotalea,Aeromicrobium,Aestuariimicrobium,Afipia,Agromyces,Ahniella,Allokutzneria,Allorhizobium_Neorhizobium_Pararhizobium_Rhizobium,Allostreptomyces,alphaI_cluster,Alsobacter,Altererythrobacter,Aminobacter,Ammoniphilus,Amycolatopsis,Anaerocolumna,Anaeromyxobacter,Aneurinibacillus,Angustibacter,Anoxybacillus,Antricoccus,Aquicella,Archangium,Arenimonas,Aridibacter,Arthrobacter,Asanoa,Asticcacaulis,Aureimonas,Azohydromonas,Azospirillum,Bacillus,Blastochloris,Blastococcus,Bosea,Brachybacterium,Bradyrhizobium,Brevibacillus,Brevundimonas,Bryobacter,Burkholderia_Caballeronia_Paraburkholderia,Caenimonas,Calenema,Candidatus_Alysiosphaera,Candidatus_Koribacter,Candidatus_Nitrocosmicus,Candidatus_Solibacter,Candidatus_Udaeobacter,Catellatospora,Caulobacter,Cellulomonas,Cellulosimicrobium,Cellvibrio,CENA533,Chelativorans,Chelatococcus,Chitinophaga,Chloronema,Chryseobacterium,Chthoniobacter,Chthonobacter,CL500_29_marine_group,Clostridium_sensu_stricto_1,Clostridium_sensu_stricto_12,Cohnella,Conexibacter,Couchioplanes,Cronobacter,Crossiella,Cupriavidus,Curtobacterium,Curvibacter,Cystobacter,Dactylosporangium,Desmonostoc_PCC_7422,Desulfosporosinus,Devosia,Domibacillus,Dongia,Dyadobacter,Dyella,Edaphobacter,Edaphobaculum,Ellin517,Ellin6055,Ellin6067,Emticicia,Ensifer,Erythrobacter,Falsibacillus,Ferrovibrio,FFCH7168,Fictibacillus,Fimbriiglobus,Flavisolibacter,Flavitalea,Flavobacterium,Flexivirga,Frateuria,Gaiella,Galbitalea,Gemmata,Gemmatimonas,Gemmatirosa,Geodermatophilus,Glycomyces,Greenland_10,Haliangium,Hamadaea,Hephaestia,Herbaspirillum,Hoeflea,Humibacter,Hydrogenophaga,Hyphomicrobium,Iamia,Ideonella,Ilumatobacter,Incertae_Sedis,Inquilinus,Intrasporangium,Jatrophihabitans,JCM_18997,Jeotgalibacillus,Kaistia,Kitasatospora,Klebsiella,Knoellia,Kocuria,Kribbella,Kroppenstedtia,Labrys,Lechevalieria,Legionella,Leifsonia,Luedemannella,Luteibacter,Luteimonas,Luteitalea,Luteolibacter,Lysinibacillus,Lysobacter,Marmoricola,Massilia,Mesorhizobium,Methylibium,Methylobacillus,Methylobacterium_Methylorubrum,Methylocystis,Methylophilus,Methylorosula,Microbacterium,Microbispora,Microcoleus_Es_Yyy1400,Microcoleus_PCC_7113,Micromonospora,Microvirga,mle1_7,MM2,MND1,Modestobacter,Mycobacterium,Mycoplana,Myxococcus,Nakamurella,Nannocystis,Neo_b11,Neorhizobium,Niabella,Niastella,Nibrella,Nitrosomonas,Nitrosospira,Nitrospira,Nocardia,Nocardioides,none,Nonomuraea,Nordella,Nostoc_PCC_7107,Nostoc_PCC_7524,Noviherbaspirillum,Novosphingobium,Ochrobactrum,Ohtaekwangia,Oligoflexus,Opitutus,Ornithinimicrobium,Oryzihumus,Oscillochloris,Ottowia,Oxalicibacterium,Oxalophagus,Paenarthrobacter,Paenibacillus,Paenisporosarcina,Pajaroellobacter,Pandoraea,Pantalinema,Parviterribacter,Paucibacter,Pedococcus_Phycicoccus,Pedomicrobium,Peredibacter,Phaselicystis,Phenylobacterium,Phreatobacter,Phytohabitans,Pir4_lineage,Pirellula,Piscinibacter,Planococcus,Planomicrobium,Planosporangium,Planotetraspora,Plot4_2H12,Polyangium,Polyangium_brachysporum_group,Pontibacter,Porphyrobacter,Promicromonospora,Prosthecomicrobium,Pseudahrensia,Pseudaminobacter,Pseudarthrobacter,Pseudoduganella,Pseudoflavitalea,Pseudolabrys,Pseudomonas,Pseudonocardia,Pseudorhodoferax,Pseudorhodoplanes,Pseudoxanthomonas,Qipengyuania,Ralstonia,Ramlibacter,RB41,Reyranella,Rhizobacter,Rhodanobacter,Rhodobacter,Rhodococcus,Rhodoplanes,Rhodopseudomonas,Roseimicrobium,Roseisolibacter,Roseomonas,Rubellimicrobium,Rubrobacter,Rugosimonospora,Ruminiclostridium,Saccharopolyspora,Saccharothrix,Sandaracinus,Schumannella,SH_PL14,Shinella,Sinomonas,Siphonobacter,Skermanella,Solibacillus,Solirubrobacter,Sphaerisporangium,Sphingoaurantiacus,Sphingobacterium,Sphingobium,Sphingomonas,Sporichthya,Sporomusa,Sporosarcina,Starkeya,Stenotrophomonas,Steroidobacter,Streptomyces,Subgroup_10,Sulfuriferula,Sumerlaea,Synechococcus_IR11,Tabrizicola,Tahibacter,Taibaiella,Tellurimicrobium,Terrabacter,Terrimicrobium,Terrimonas,Thermincola,Thermomonas,TM7a,Tolypothrix,Tumebacillus,UTBCD1,Vampirovibrio,Vicinamibacter,Virgisporangium,Xanthobacter,Xylophilus,YC_ZSS_LKJ147,Yonghaparkia,Zavarzinella,Zhihengliuella,Watering_Regm
P1,0.00E+00,7.83E-04,2.56E-03,0.001333024,4.89E-04,0.000697086,0.000941677,7.34E-04,0,0.000244592,0.010774254,0.00E+00,4.04E-04,0.000733774,2.45E-04,0.00E+00,0.017598356,0.000623708,0.000660397,6.60E-04,3.06E-04,0.00E+00,0.000501413,9.54E-04,0.00E+00,9.66E-04,3.42E-04,2.57E-04,0,0.00E+00,3.79E-04,0.001015055,5.50E-04,4.40E-04,0,0.000171214,2.94E-04,0.001577615,0.003595495,2.20E-04,0.014528733,6.97E-04,1.96E-04,0.00201788,0.00E+00,0.006616199,2.41E-03,0.00E+00,2.69E-04,1.60E-02,0.00E+00,0.00E+00,0.00E+00,3.67E-04,1.20E-03,5.38E-04,2.64E-03,0,4.28E-04,0,1.10E-04,0.00E+00,7.34E-05,0.00E+00,0.00E+00,1.98E-03,1.47E-04,2.32E-04,0.00E+00,0.002140175,0,3.79E-04,2.08E-04,0.000880529,0.00629823,0.000635938,0,4.04E-04,7.09E-04,0,0,0,6.93E-03,1.44E-03,0.00E+00,0.005295405,5.14E-04,0.005307635,1.05E-03,2.81E-04,0.00E+00,0.00E+00,4.04E-04,0.001125121,0.007349974,2.57E-04,0.004255892,0.00E+00,0.004182514,0.00E+00,3.67E-04,2.32E-04,1.19E-03,0.003803397,1.14E-03,0.00E+00,0.00E+00,4.04E-04,0.016803434,1.47E-04,5.16E-03,2.10E-03,0.00057479,1.08E-03,0.00E+00,1.71E-04,2.20E-03,1.96E-04,0.00E+00,0,0,9.78E-05,0.00E+00,0.002225782,0.000660397,6.48E-04,6.60E-04,0.00E+00,0.00E+00,0.001895584,1.26E-03,0.00E+00,0,0.00E+00,0.000428035,5.26E-04,0.003937923,0,0.000721545,3.67E-05,2.81E-04,0.000794922,0.00E+00,0.001577615,1.35E-03,0.00E+00,0.00E+00,0.000354658,2.69E-04,1.69E-03,0.004622779,0.007924764,2.60E-03,0.0120339,0,2.57E-04,1.22E-04,0.000403576,2.69E-04,0,0.000379117,4.28E-04,0.00E+00,0.00E+00,0.000831611,0.007019775,2.03E-03,3.75E-03,3.56E-03,0.00E+00,0.006909709,0.012767675,2.69E-04,9.78E-05,0.00E+00,3.42E-04,0.000672627,0.00E+00,1.28E-03,1.83E-04,5.01E-04,4.77E-04,7.95E-04,2.69E-04,0.021120474,0.47767491,4.52E-04,3.94E-03,4.54E-03,2.20E-04,1.08E-03,0.014088469,0.00E+00,6.36E-04,0.00E+00,4.04E-04,0.00E+00,3.18E-04,2.20E-04,0,0.000379117,2.68E-03,0.001687681,4.67E-03,0.020435617,5.38E-04,0.00E+00,0.00E+00,1.83E-04,5.14E-04,0.001907814,0.001858895,1.35E-04,4.28E-04,0.009661363,1.59E-04,0.000697086,1.35E-04,3.06E-03,0.003326444,0.001186269,0.000880529,0.000244592,0,4.52E-04,8.68E-04,6.36E-04,7.34E-05,0.00E+00,0.00E+00,3.79E-04,8.56E-05,0.000843841,0.00458609,5.20E-03,0.00E+00,2.52E-03,7.83E-04,0.009355624,0.00E+00,0.000904988,1.96E-04,1.47E-04,1.60E-03,0.008169355,0.00E+00,9.42E-04,0,0,0.00E+00,0,2.13E-03,2.94E-04,4.04E-04,9.66E-04,1.83E-04,0.001284105,4.04E-04,0.001736599,4.28E-04,0.000232362,2.08E-04,0.00E+00,0,2.20E-04,0.003106312,0.001748829,0.00E+00,3.18E-04,0,0.004231432,3.06E-04,2.45E-04,0.00E+00,1.22E-04,0.018711248,7.58E-04,0.00E+00,0.000880529,6.11E-05,0.00E+00,1.43E-03,0.016705597,3.80E-03,1.35E-04,2.32E-04,0.00E+00,9.78E-05,5.87E-04,0.00E+00,0.00E+00,0.006090328,1.59E-04,1.70E-03,2.94E-04,4.40E-04,3.18E-04,0,0.029045237,4.77E-04,0.00E+00,0.001455319,2.20E-04,0.00E+00,2.58E-03,1.22E-04,0.00E+00,6.36E-04,0,0
P2,8.19E-05,1.03E-03,1.37E-03,0.000280712,8.66E-04,0,0.000678386,5.20E-03,0,0.000339193,0.004257459,1.29E-04,4.44E-04,0.002374352,1.17E-04,1.72E-03,0.043100928,0.000982491,0.000304104,9.47E-04,4.68E-04,0.00E+00,0.000654994,3.18E-03,0.00E+00,6.43E-04,0.00E+00,1.77E-03,0.000467853,1.05E-04,1.05E-04,0.00146204,1.64E-04,2.22E-04,0,0,0.00E+00,0,0.000502942,3.86E-04,0.024141198,7.37E-04,4.09E-04,0.00212873,0.00E+00,0.007895014,1.88E-03,1.52E-04,3.74E-04,9.12E-04,0.00E+00,0.00E+00,1.40E-03,0.00E+00,5.15E-04,2.69E-04,0.00E+00,0.000362586,5.73E-04,0.000269015,0.00E+00,1.99E-04,0.00E+00,0.00E+00,0.00E+00,1.83E-02,1.52E-04,3.86E-04,0.00E+00,0.000608209,0,2.92E-04,9.36E-05,0.000327497,0.008889201,0.004117104,0,3.65E-03,5.50E-04,0,0,0,9.71E-04,0.00E+00,0.00E+00,0.007099664,5.50E-04,0.0041288,1.84E-03,9.59E-04,0.00E+00,1.52E-04,3.51E-05,0.00177784,0.002631671,0.00E+00,0.023322456,0.00E+00,0.019778472,0.00E+00,3.63E-04,1.52E-04,0.00E+00,0.00870206,1.65E-03,0.00E+00,0.00E+00,6.08E-04,0.0149245,1.17E-04,2.69E-04,3.20E-03,0,3.04E-03,3.65E-02,0.00E+00,3.16E-03,3.39E-04,0.00E+00,0,0,1.29E-04,0.00E+00,0.001029276,0.00123981,2.34E-04,3.16E-04,0.00E+00,3.63E-04,0.0044446,1.49E-03,3.27E-04,0,0.00E+00,0,9.36E-05,0.004421208,0,0.012105688,0.00E+00,7.95E-04,0.010877575,0.00E+00,0.001029276,1.58E-03,0.00E+00,5.03E-04,0,9.36E-05,1.52E-03,0.008023673,0.021462741,3.86E-04,0.019965613,0,7.13E-04,4.56E-04,0.000339193,0.00E+00,0.000304104,0.001426951,4.21E-04,5.26E-04,3.51E-05,0.008304385,0.007859925,6.90E-04,5.77E-03,1.11E-03,0.00E+00,0.010643648,0.02642198,1.87E-04,0.00E+00,9.36E-05,2.92E-04,0.004549867,1.17E-04,3.72E-03,0.00E+00,0.00E+00,2.22E-04,1.05E-04,3.16E-04,0.059581038,0.18238067,9.12E-04,2.54E-03,4.68E-05,1.75E-04,5.61E-04,0.006889131,0.00E+00,1.02E-03,0.00E+00,4.56E-04,0.00E+00,3.74E-04,0.00E+00,0,0.00044446,2.05E-03,0.00133338,3.35E-03,0.027708575,3.16E-04,0.00E+00,0.00E+00,3.98E-04,0.00E+00,0.002269086,0.001719359,1.05E-04,1.99E-04,0.008269296,1.75E-04,0.00133338,0.00E+00,1.17E-04,0.000701779,0.001532218,0.001005883,0.000257319,0,5.50E-04,1.29E-04,2.64E-03,2.22E-04,0.00E+00,7.02E-05,7.02E-05,1.17E-04,0.001122846,0.0022223,1.10E-03,0.00E+00,2.91E-03,1.64E-04,0.003988444,0.00E+00,0.000163748,5.50E-04,1.29E-04,1.40E-04,0.006082085,0.00E+00,1.33E-03,0.000245623,0,1.29E-04,0,1.16E-03,8.54E-04,0.00E+00,9.24E-04,1.05E-04,0.001532218,0.00E+00,0.000877224,5.50E-04,0.000292408,6.32E-04,0.00E+00,0,0.00E+00,0.003965051,0.002643368,0.00E+00,1.40E-04,0,0.00625753,7.13E-04,7.49E-04,0.00E+00,4.09E-04,0.026305017,3.39E-04,0.00E+00,0.000163748,5.85E-05,9.36E-05,9.12E-04,0.096716844,2.82E-03,3.59E-03,0.00E+00,0.00E+00,0.00E+00,1.17E-04,0.00E+00,0.00E+00,0.006468063,0.00E+00,1.47E-03,0.00E+00,1.47E-03,1.38E-03,0,0.045510369,0.00E+00,0.00E+00,0.000198837,1.64E-04,0.00E+00,3.98E-04,0.00E+00,4.44E-04,5.85E-05,0,1
P3,0.00E+00,1.56E-03,1.96E-03,0.001818954,1.09E-03,0.000569939,0.00066695,9.70E-04,0,0.000242527,0.017862123,0.00E+00,3.88E-04,0.002073607,1.19E-03,0.00E+00,0.013120718,0.000945856,0.000412296,3.52E-04,1.62E-03,0.00E+00,0.001067119,1.05E-03,0.00E+00,1.33E-03,2.30E-04,2.30E-04,0.000509307,0.00E+00,2.55E-04,0.000715455,5.58E-04,1.46E-04,0,0,3.52E-04,0.00066695,0.003067968,1.09E-04,0.037664464,1.41E-03,6.67E-04,0.002413145,0.00E+00,0.057697205,1.69E-03,1.09E-04,1.26E-03,1.16E-03,2.18E-04,0.00E+00,1.35E-03,0.00E+00,6.67E-04,5.09E-04,2.18E-04,0.000970109,5.34E-04,0,8.49E-05,9.34E-04,0.00E+00,2.06E-04,0.00E+00,1.04E-03,3.27E-04,3.64E-05,0.00E+00,0.002352513,0,4.97E-04,2.67E-04,0.000715455,0.010125508,0.000545686,0,2.30E-04,8.73E-04,0.000582065,0,0.00026678,1.10E-03,1.94E-04,0.00E+00,0.00702116,7.64E-04,0.00415934,4.61E-04,8.49E-05,0.00E+00,0.00E+00,0.00E+00,0.002837568,0.00875523,0.00E+00,0.003310495,0.00E+00,0.010077002,0.00E+00,9.58E-04,3.23E-03,2.30E-04,0.007348572,2.17E-03,0.00E+00,0.00E+00,1.82E-04,0.031467896,0.00E+00,2.67E-04,6.65E-03,0.000194022,2.01E-03,3.64E-05,0.00E+00,4.23E-03,3.03E-04,1.70E-04,0,0,0.00E+00,8.49E-05,0.003674286,0.001915964,5.21E-04,6.55E-04,0.00E+00,0.00E+00,0.001576426,1.31E-03,9.34E-04,0,0.00E+00,0.000460802,0.00E+00,0.00286182,0,0.001928091,1.33E-04,5.94E-04,0.001540047,1.21E-04,0.000230401,2.13E-03,0.00E+00,1.82E-04,0,9.70E-05,2.01E-03,0.012853938,0.021281756,2.10E-03,0.014685018,0,5.46E-04,0.00E+00,0.000460802,2.43E-04,0.000691202,0.000909477,0.00E+00,0.00E+00,0.00E+00,0.003989571,0.014042321,2.83E-03,7.57E-03,4.84E-03,2.18E-04,0.008161038,0.01434548,0.00E+00,1.70E-04,0.00E+00,6.91E-04,0.001515795,0.00E+00,3.64E-03,0.00E+00,2.43E-04,7.28E-04,1.16E-03,5.09E-04,0.045813375,0.24427333,6.79E-04,4.69E-03,2.91E-04,0.00E+00,1.59E-03,0.015994664,0.00E+00,2.55E-04,8.49E-05,5.82E-04,0.00E+00,3.03E-04,0.00E+00,0,0.000788213,1.20E-03,0.000412296,6.14E-03,0.033068575,8.73E-04,1.42E-03,0.00E+00,5.21E-04,6.31E-04,0.002194871,0.003504517,6.55E-04,8.37E-04,0.010331656,2.30E-04,0.000873098,0.00E+00,4.12E-04,0.002206997,0.00379555,0.001988723,0.000448675,0.000509307,7.76E-04,1.82E-03,3.01E-03,4.24E-04,1.58E-04,0.00E+00,7.28E-04,0.00E+00,0.001673437,0.002667798,2.05E-03,0.00E+00,2.98E-03,4.61E-04,0.008100406,0.00E+00,0.001891712,6.06E-05,4.73E-04,1.46E-04,0.013351119,0.00E+00,1.89E-03,0.000945856,0,2.55E-04,0,4.10E-03,3.15E-04,7.28E-05,1.81E-03,2.06E-04,0.002425271,0.00E+00,0.001649185,6.43E-04,0.000582065,4.85E-04,0.00E+00,0,0.00E+00,0.004486752,0.000691202,0.00E+00,1.09E-04,0.000606318,0.008670345,4.73E-04,1.07E-03,0.00E+00,5.21E-04,0.030800946,8.49E-04,0.00E+00,0.001734069,7.28E-05,0.00E+00,1.18E-03,0.022336749,7.15E-03,1.46E-04,3.64E-05,3.64E-05,3.64E-04,9.82E-04,0.00E+00,0.00E+00,0.005214333,0.00E+00,4.79E-03,0.00E+00,1.14E-03,1.09E-03,0,0.03012187,9.70E-04,0.00E+00,0.000654823,0.00E+00,0.00E+00,4.43E-03,6.67E-04,4.00E-04,1.09E-04,0,0
P4,0.00E+00,1.26E-03,2.08E-03,0.002426208,0.00E+00,0.000174258,0.000308303,2.28E-04,0,0.000348516,0.003994531,0.00E+00,0.00E+00,0.001219806,1.21E-04,1.61E-04,0.039771052,0.000254685,0.000160854,0.00E+00,4.29E-04,0.00E+00,0,4.83E-04,0.00E+00,1.27E-03,4.29E-04,3.22E-04,0.000764055,0.00E+00,2.68E-04,0.001487896,0.00E+00,1.61E-04,0,0,0.00E+00,0,0.002332377,1.61E-04,0.016273022,8.04E-04,3.75E-04,0.002734511,0.00E+00,0.010348248,1.10E-03,1.34E-04,8.18E-04,4.83E-04,1.88E-04,0.00E+00,0.00E+00,0.00E+00,1.25E-03,6.97E-04,1.53E-03,0,1.34E-04,0,0.00E+00,0.00E+00,0.00E+00,1.61E-04,0.00E+00,2.21E-03,9.38E-05,0.00E+00,0.00E+00,0.000844481,0.000227876,6.03E-04,0.00E+00,0.001045548,0.00954398,0,0,3.08E-04,1.34E-04,0,0,0,1.31E-03,9.38E-05,3.22E-04,0.003873891,0.00E+00,0.002466422,1.21E-03,0.00E+00,0.00E+00,0.00E+00,2.41E-04,0.000536179,0.005294764,1.21E-04,0.02487869,0.00E+00,0.002828342,0.00E+00,2.01E-04,3.89E-04,3.35E-04,0.006447548,1.47E-03,0.00E+00,0.00E+00,0.00E+00,0.028430873,0.00E+00,1.43E-03,5.43E-03,0.000522774,1.03E-03,3.89E-04,0.00E+00,3.93E-03,1.61E-04,0.00E+00,0,0,0.00E+00,0.00E+00,0.001635345,0.004423474,9.38E-05,2.81E-04,0.00E+00,5.36E-05,0.003284094,1.01E-03,7.77E-04,0,0.00E+00,0,0.00E+00,0.006233077,0,0.00276132,0.00E+00,2.01E-04,0.0023994,0.00E+00,0,1.96E-03,0.00E+00,1.74E-04,0.000227876,3.49E-04,1.70E-03,0.018029007,0.029516635,2.52E-03,0.014302566,0,8.04E-05,2.28E-04,0.000764055,4.02E-05,0.000616606,0.000428943,5.23E-04,0.00E+00,0.00E+00,0.001085762,0.008190129,1.74E-03,3.34E-03,6.11E-03,2.28E-04,0.004517305,0.010066754,0.00E+00,0.00E+00,0.00E+00,6.03E-04,0.005509236,0.00E+00,1.41E-03,0.00E+00,1.07E-04,3.75E-04,2.81E-04,2.55E-04,0.066338704,0.33417335,6.30E-04,1.22E-03,0.00E+00,0.00E+00,6.30E-04,0.001541514,0.00E+00,1.18E-03,0.00E+00,3.35E-04,0.00E+00,4.56E-04,0.00E+00,0,0,2.27E-03,0.001447682,4.69E-03,0.040897027,6.43E-04,1.19E-03,0.00E+00,4.96E-04,1.07E-04,0.003766655,0.001608536,3.89E-04,1.07E-04,0.004865821,1.21E-04,0,0.00E+00,7.64E-04,0.001246615,0.005656685,0.001394065,0.000268089,0,3.08E-04,3.49E-04,1.06E-03,1.38E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.001219806,0.004209002,1.25E-03,0.00E+00,1.69E-03,0.00E+00,0.004946248,0.00E+00,0.000764055,1.34E-04,0.00E+00,0.00E+00,0.010468888,4.02E-04,1.02E-03,0.001032144,0,0.00E+00,0,2.56E-03,8.04E-05,0.00E+00,1.51E-03,1.88E-04,0.001313638,2.14E-04,0.001742581,5.36E-04,0.000616606,2.95E-04,0.00E+00,0,1.74E-04,0.002828342,0.001957052,0.00E+00,6.57E-04,0,0.009342913,6.57E-04,4.83E-04,0.00E+00,1.88E-04,0.016594729,2.28E-04,0.00E+00,0.000965122,0.00E+00,0.00E+00,9.25E-04,0.037264417,8.82E-03,1.06E-03,0.00E+00,0.00E+00,0.00E+00,2.95E-04,0.00E+00,0.00E+00,0.017144312,0.00E+00,1.15E-03,2.81E-04,1.11E-03,2.41E-04,0,0.030428139,2.95E-04,0.00E+00,0.001005335,0.00E+00,0.00E+00,3.03E-03,3.22E-04,0.00E+00,4.02E-04,0,1
P5,1.62E-03,1.56E-03,2.32E-03,0.000418422,2.43E-03,0.00128316,0.00064158,7.39E-04,0,0.002970794,0.043683227,0.00E+00,4.46E-04,0.00315211,5.02E-04,1.28E-03,0.024338196,0.000795001,0.000613685,1.12E-04,8.23E-04,8.37E-05,0,1.10E-03,1.95E-04,5.16E-04,2.93E-04,1.81E-03,0,9.76E-05,1.53E-04,0.003445005,2.37E-04,5.02E-04,0.003570532,0,0.00E+00,0.000265,0.003263689,1.67E-04,0.011673966,1.31E-03,6.83E-04,0.002273425,0.00E+00,0.0069458,1.80E-03,4.18E-04,9.34E-04,4.88E-04,0.00E+00,1.53E-04,9.34E-04,3.07E-04,1.33E-03,0.00E+00,2.90E-03,0.000404474,8.23E-04,0,2.37E-04,9.48E-04,2.86E-03,8.93E-04,0.00E+00,2.36E-03,1.06E-03,2.79E-05,3.49E-04,0.001813161,0,4.18E-04,2.93E-04,0.000808949,0.008982119,0.00128316,0,6.97E-05,3.49E-04,0.002273425,0,0.000655527,9.34E-04,4.04E-04,0.00E+00,0.008061592,5.86E-04,0.003193952,3.93E-03,6.28E-04,0.00E+00,1.39E-04,0.00E+00,0.003640269,0.002733689,5.30E-04,0.002412899,1.67E-04,0.003751848,1.39E-04,1.14E-03,1.53E-04,1.13E-03,0.005216324,1.60E-03,0.00E+00,0.00E+00,1.14E-03,0.019986611,0.00E+00,6.30E-03,4.67E-03,0,1.97E-03,1.26E-04,6.97E-05,4.34E-03,1.81E-04,0.00E+00,0,0,0.00E+00,2.37E-04,0.002789478,0.00160395,0.00E+00,4.04E-04,0.00E+00,9.76E-05,0.004281849,1.34E-03,0.00E+00,0,5.58E-05,0.000516053,1.67E-03,0.005090798,0,0.002677899,1.26E-04,2.93E-04,0.003961059,5.02E-04,0.000418422,1.66E-03,0.00E+00,3.63E-04,0.000976317,6.97E-04,1.53E-03,0.006987643,0.016499763,6.42E-04,0.009916595,0,1.26E-03,2.37E-04,0.000390527,6.83E-04,0.000251053,0.005927641,0.00E+00,1.12E-04,6.97E-05,0.001325002,0.015007392,1.49E-03,6.14E-03,2.57E-03,2.09E-04,0.013710285,0.011004491,0.00E+00,2.51E-04,3.21E-04,6.00E-04,0.002942899,8.37E-05,2.79E-03,2.37E-04,1.67E-04,7.95E-04,9.48E-04,4.60E-04,0.039052693,0.2878323,1.19E-03,4.84E-03,2.11E-03,0.00E+00,2.34E-03,0.011339228,3.35E-04,9.34E-04,0.00E+00,3.35E-04,7.25E-04,2.65E-04,0.00E+00,0,0,1.65E-03,0.00481185,5.05E-03,0.024575302,0.00E+00,1.37E-03,3.63E-04,2.37E-04,8.51E-04,0.002398951,0.00224553,2.23E-04,7.95E-04,0.007141064,5.02E-04,0.000836843,3.91E-04,3.04E-03,0.001464476,0.002803426,0.000836843,0.00032079,0.000599738,4.60E-04,1.63E-03,3.70E-03,3.91E-04,0.00E+00,5.58E-05,4.32E-04,0.00E+00,0.002817373,0.00475606,2.22E-03,0.00E+00,2.11E-03,1.16E-02,0.01464476,3.91E-04,0.001213423,8.37E-05,5.58E-04,0.00E+00,0.009261067,6.56E-04,1.17E-03,0,0,3.07E-04,0,4.00E-03,1.81E-04,6.69E-04,1.37E-03,4.74E-04,0.001087897,5.02E-04,0.001352897,9.48E-04,0.001994477,1.12E-04,0.00E+00,0,3.07E-04,0.003696059,0.000836843,0.00E+00,2.79E-04,0,0.007420012,4.32E-04,1.03E-03,0.00E+00,3.91E-04,0.02073977,3.77E-04,0.00E+00,0.00475606,0.00E+00,0.00E+00,1.74E-03,0.027016095,3.07E-03,0.00E+00,0.00E+00,1.77E-03,6.42E-04,1.46E-03,0.00E+00,0.00E+00,0.010000279,3.91E-04,2.39E-03,0.00E+00,8.79E-04,1.30E-03,0,0.031897682,4.18E-04,0.00E+00,0.003277637,2.65E-04,0.00E+00,5.52E-03,0.00E+00,3.01E-03,6.56E-04,0,0
